benchmark	Type	Orig	Prop	Class	logs.Storm.topovi-abs-e3-g5	logs.Storm.topoii-abs-e3-g5	logs.Storm.ii-abs-e3-g5	logs.Storm.topopi-abs-e3-g5	logs.Storm.topopi-abs-einf	logs.Storm.topoii-abs-e3-g01	logs.Storm.topoii-abs-e3-g1	logs.Storm.topoii-abs-e3-g25	logs.Storm.topoii-abs-e3-g75	logs.Storm.topoii-abs-e3-g9	logs.Storm.topoii-abs-e3-g99	logs.Storm.topoii-abs-e1-g5	logs.Storm.topoii-abs-e2-g5	logs.Storm.topoii-abs-e4-g5	logs.Storm.topoii-abs-e5-g5	logs.Storm.topoii-abs-e6-g5	logs.mcsta.ii-rel-e3-g5	logs.mcsta.vi-abs-e3-g5	logs.mcsta.ii-abs-e3-g01	logs.mcsta.ii-abs-e3-g1	logs.mcsta.ii-abs-e3-g25	logs.mcsta.ii-abs-e3-g5	logs.mcsta.ii-abs-e3-g75	logs.mcsta.ii-abs-e3-g9	logs.mcsta.ii-abs-e3-g99	logs.mcsta.ii-abs-e1-g5	logs.mcsta.ii-abs-e2-g5	logs.mcsta.ii-abs-e4-g5	logs.mcsta.ii-abs-e5-g5	logs.mcsta.ii-abs-e6-g5	best
team-formation.3.tradeoff_finish1_finish_teamsize	mdp	prism	M	3obj	12.0	12.0	12.0	12.0	256	12.0	12.0	12.0	12.0	12.0	12.0	7.0	11.0	12.0	12.0	12.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	6.0	11.0	11.0	11.0	11.0	6.0
team-formation.4.tradeoff_finish1_finish_teamsize	mdp	prism	M	3obj	13.0	12.0	12.0	12.0	256	12.0	12.0	12.0	12.0	12.0	12.0	6.0	11.0	12.0	12.0	12.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	6.0	11.0	11.0	11.0	11.0	6.0
team-formation.5.tradeoff_finish1_finish_teamsize	mdp	prism	M	3obj	12.0	12.0	12.0	12.0	256	12.0	12.0	12.0	12.0	12.0	12.0	6.0	8.0	12.0	12.0	12.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	5.0	7.0	11.0	11.0	11.0	5.0
wlan.0-0.multi_pos	mdp	prism	M	2obj	2.0	2.0	2.0	2.0	256	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
wlan.1-0.multi_pos	mdp	prism	M	2obj	2.0	2.0	2.0	2.0	256	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
wlan.2-0.multi_pos	mdp	prism	M	2obj	2.0	2.0	2.0	2.0	256	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
wlan.3-0.multi_pos	mdp	prism	M	2obj	2.0	2.0	2.0	2.0	256	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
wlan.4-0.multi_pos	mdp	prism	M	2obj	2.0	2.0	2.0	2.0	256	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
wlan.5-0.multi_pos	mdp	prism	M	2obj	2.0	2.0	2.0	2.0	256	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
wlan.6-0.multi_pos	mdp	prism	M	2obj	2.0	2.0	2.0	256	256	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
wlan.0-0.multi_neg	mdp	prism	M	3obj	5.0	5.0	5.0	5.0	256	5.0	5.0	5.0	5.0	5.0	5.0	4.0	5.0	5.0	5.0	5.0	5.0	7.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	4.0	4.0	5.0	5.0	5.0	4.0
wlan.1-0.multi_neg	mdp	prism	M	3obj	11.0	8.0	7.0	7.0	256	8.0	8.0	7.0	8.0	8.0	8.0	6.0	6.0	8.0	8.0	8.0	5.0	9.0	7.0	7.0	7.0	8.0	7.0	7.0	7.0	6.0	6.0	11.0	8.0	8.0	5.0
wlan.2-0.multi_neg	mdp	prism	M	3obj	12.0	10.0	10.0	9.0	256	9.0	10.0	9.0	9.0	9.0	9.0	8.0	8.0	12.0	11.0	11.0	5.0	10.0	9.0	9.0	9.0	9.0	9.0	9.0	11.0	8.0	8.0	10.0	10.0	11.0	5.0
wlan.3-0.multi_neg	mdp	prism	M	3obj	12.0	11.0	12.0	11.0	256	11.0	12.0	11.0	12.0	13.0	11.0	8.0	10.0	11.0	12.0	14.0	5.0	14.0	11.0	15.0	11.0	11.0	11.0	11.0	11.0	8.0	10.0	12.0	16.0	13.0	5.0
wlan.4-0.multi_neg	mdp	prism	M	3obj	12.0	11.0	11.0	11.0	256	11.0	11.0	11.0	11.0	11.0	11.0	8.0	10.0	12.0	13.0	13.0	5.0	12.0	13.0	11.0	11.0	11.0	11.0	11.0	11.0	8.0	10.0	12.0	13.0	13.0	5.0
wlan.5-0.multi_neg	mdp	prism	M	3obj	12.0	12.0	12.0	11.0	256	12.0	12.0	12.0	12.0	12.0	12.0	8.0	10.0	12.0	13.0	14.0	5.0	12.0	13.0	11.0	11.0	11.0	11.0	15.0	11.0	8.0	10.0	12.0	19.0	256	5.0
wlan.6-0.multi_neg	mdp	prism	M	3obj	12.0	12.0	256	256	256	12.0	12.0	12.0	12.0	12.0	12.0	8.0	10.0	12.0	13.0	14.0	256	256	256	256	256	256	256	256	256	256	256	256	256	256	8.0
wlan-mec.2-0.multi_pos	mdp	prism	M	2obj	2.0	2.0	2.0	2.0	256	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
wlan-mec.2-0.multi_pos	mdp	prism	M	2obj	2.0	2.0	2.0	2.0	256	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
wlan-mec.3-0.multi_pos	mdp	prism	M	2obj	2.0	2.0	2.0	2.0	256	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	512	512	512	512	512	512	512	512	512	512	512	512	512	512	2.0
wlan-mec.4-0.multi_pos	mdp	prism	M	2obj	2.0	2.0	2.0	2.0	256	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	512	512	512	512	512	512	512	512	512	512	512	512	512	512	2.0
wlan-mec.5-0.multi_pos	mdp	prism	M	2obj	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	256	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512
brp-pta.16-2-1-64.Multi	pta	modest	M	ge4obj	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0
brp-pta.64-12-32-256.Multi	pta	modest	M	ge4obj	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	256	256	256	256	256	256	256	256	256	256	256	256	256	256	512
csma_abst-pta.1-1000.multi_neg	pta	prism	M	2obj	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512
csma_abst-pta.1-1750.multi_neg	pta	prism	M	2obj	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512
csma_abst-pta.1-1800.multi_neg	pta	prism	M	2obj	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512
csma_abst-pta.1-2000.multi_neg	pta	prism	M	2obj	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512
csma_abst-pta.1-3000.multi_neg	pta	prism	M	2obj	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512
firewire-pta.30-2500.multi	pta	prism	M	2obj	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
firewire-pta.30-5000.multi	pta	prism	M	2obj	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
firewire-pta.30-7500.multi	pta	prism	M	2obj	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
firewire-pta.360-2500.multi	pta	prism	M	2obj	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	256	256	256	256	256	256	256	256	256	256	256	256	256	256	512
firewire-pta.360-5000.multi	pta	prism	M	2obj	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	256	256	256	256	256	256	256	256	256	256	256	256	256	256	512
firewire-pta.360-7500.multi	pta	prism	M	2obj	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	256	256	256	256	256	256	256	256	256	256	256	256	256	256	512
firewire_abst-pta.30-50.multi	pta	prism	M	2obj	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
firewire_abst-pta.30-500.multi	pta	prism	M	2obj	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
firewire_abst-pta.30-5000.multi	pta	prism	M	2obj	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
firewire_abst-pta.30-10000.multi	pta	prism	M	2obj	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
firewire_abst-pta.30-15000.multi	pta	prism	M	2obj	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
firewire_abst-pta.360-50.multi	pta	prism	M	2obj	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
firewire_abst-pta.360-500.multi	pta	prism	M	2obj	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
firewire_abst-pta.360-5000.multi	pta	prism	M	2obj	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
firewire_abst-pta.360-10000.multi	pta	prism	M	2obj	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
firewire_abst-pta.360-15000.multi	pta	prism	M	2obj	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
repudiation_honest.40.multi	pta	prism	M	2obj	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512
repudiation_honest.80.multi	pta	prism	M	2obj	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512
repudiation_honest.100.multi	pta	prism	M	2obj	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512
repudiation_malicious.5.multi	pta	prism	M	2obj	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512
repudiation_malicious.10.multi	pta	prism	M	2obj	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512
repudiation_malicious.20.multi	pta	prism	M	2obj	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512
wlan-large.2.MultiPos	pta	modest	M	2obj	44.0	5.0	5.0	2.0	2.0	3.0	3.0	256	5.0	5.0	5.0	4.0	5.0	256	3.0	3.0	256	1	256	256	256	256	256	256	256	256	256	256	256	256	1
wlan-large.2.MultiNeg	pta	modest	M	ge4obj	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	256	256	256	256	256	256	256	256	256	256	256	256	256	256	512
zeroconf-pta.100.multi	pta	prism	M	2obj	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
zeroconf-pta.150.multi	pta	prism	M	2obj	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
zeroconf-pta.200.multi	pta	prism	M	2obj	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	512	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
