n	logs.Storm.topovi-abs-e3-g5shifted	logs.Storm.topoii-abs-e3-g5shifted	logs.Storm.ii-abs-e3-g5shifted	logs.Storm.topopi-abs-e3-g5shifted	logs.Storm.topopi-abs-einfshifted	logs.Storm.topoii-abs-e3-g01shifted	logs.Storm.topoii-abs-e3-g1shifted	logs.Storm.topoii-abs-e3-g25shifted	logs.Storm.topoii-abs-e3-g75shifted	logs.Storm.topoii-abs-e3-g9shifted	logs.Storm.topoii-abs-e3-g99shifted	logs.Storm.topoii-abs-e1-g5shifted	logs.Storm.topoii-abs-e2-g5shifted	logs.Storm.topoii-abs-e4-g5shifted	logs.Storm.topoii-abs-e5-g5shifted	logs.Storm.topoii-abs-e6-g5shifted	logs.mcsta.ii-rel-e3-g5shifted	logs.mcsta.vi-abs-e3-g5shifted	logs.mcsta.ii-abs-e3-g01shifted	logs.mcsta.ii-abs-e3-g1shifted	logs.mcsta.ii-abs-e3-g25shifted	logs.mcsta.ii-abs-e3-g5shifted	logs.mcsta.ii-abs-e3-g75shifted	logs.mcsta.ii-abs-e3-g9shifted	logs.mcsta.ii-abs-e3-g99shifted	logs.mcsta.ii-abs-e1-g5shifted	logs.mcsta.ii-abs-e2-g5shifted	logs.mcsta.ii-abs-e4-g5shifted	logs.mcsta.ii-abs-e5-g5shifted	logs.mcsta.ii-abs-e6-g5shifted	logs.Storm.bestshifted	logs.mcsta.bestshifted	selection-bestshifted	bestshifted
65	0.6619009971618652	0.6615800857543945	0.79825758934021	11.378144979476929		0.7152202129364014	0.7526042461395264	0.6622679233551025	0.6590602397918701	0.6617691516876221	0.708554744720459	0.5247635841369629	0.6048910617828369	0.7356634140014648	0.7005159854888916	0.6891293525695801	1.707395315170288	1.6758019924163818	1.6210126876831055	1.6346125602722168	1.6087861061096191	1.5751655101776123	1.5719876289367676	1.5651919841766357	1.5499391555786133	1.511763572692871	1.549914836883545	1.6881039142608643	1.7195894718170166	1.7048733234405518	0.4391489028930664	1.186917781829834		0.4270310401916504
66	0.6897726058959961	0.6985204219818115	0.8214321136474609	11.912457466125488		0.7516176700592041	0.7604031562805176	0.66267991065979	0.6617612838745117	0.6970276832580566	0.7289903163909912	0.5826385021209717	0.6271185874938965	0.7395000457763672	0.7045834064483643	0.7166204452514648	1.8030879497528076	1.7297067642211914	1.7064886093139648	1.6475746631622314	1.6761012077331543	1.6371090412139893	1.5806727409362793	1.6654324531555176	1.5780305862426758	1.5210342407226562	1.562669277191162	1.8443644046783447	1.7319231033325195	1.7718348503112793	0.4453856945037842	1.2336318492889404		0.42909765243530273
67	0.7810535430908203	0.7193889617919922	0.8486838340759277	13.763189554214478		0.7633955478668213	0.7646148204803467	0.6837770938873291	0.689335823059082	0.7263698577880859	0.7368695735931396	0.6272053718566895	0.6301627159118652	0.7579019069671631	0.7449681758880615	0.7626171112060547	1.9950988292694092	1.74745774269104	1.798299789428711	1.785287618637085	1.8205082416534424	1.6775012016296387	1.689281940460205	1.6895980834960938	1.6433467864990234	1.5213046073913574	1.5852463245391846	2.0096733570098877	1.9263291358947754	1.8290314674377441	0.4635462760925293	1.2459442615509033		0.4391489028930664
68	0.781292200088501	0.74261474609375	0.8546836376190186	14.001502275466919		0.7804059982299805	0.7672829627990723	0.7500481605529785	0.7495079040527344	0.7520523071289062	0.7506749629974365	0.6360938549041748	0.6426577568054199	0.7712059020996094	0.7897212505340576	0.8184070587158203	2.0217580795288086	1.8867816925048828	1.8456072807312012	1.809586763381958	1.9263255596160889	1.7915191650390625	1.9750583171844482	1.9971935749053955	2.0431649684906006	1.5773868560791016	1.848754644393921	2.0313498973846436	1.98665452003479	1.9777030944824219	0.5518767833709717	1.4702906608581543		0.4408881664276123
69	0.8070042133331299	0.7693028450012207	1.0054450035095215	16.849717378616333		0.7818975448608398	0.7845113277435303	0.7577660083770752	0.7522222995758057	0.777841329574585	0.7601776123046875	0.7047033309936523	0.6630010604858398	0.8509588241577148	0.8771889209747314	0.8387551307678223	2.391827344894409	2.06007981300354	2.03125262260437	2.014860153198242	1.9538867473602295	2.021383285522461	2.0864956378936768	2.0890004634857178	2.100280284881592	1.8708295822143555	1.8625411987304688	2.4341025352478027	2.7134077548980713	2.737731695175171	0.6027765274047852	1.511763572692871		0.44262003898620605
70	0.813410758972168	0.7820329666137695	1.1223726272583008	16.97669816017151		0.8699624538421631	0.9234464168548584	0.7757747173309326	0.7786448001861572	0.8052918910980225	0.7964601516723633	0.726844310760498	0.7393398284912109	0.9006967544555664	0.879863977432251	0.8809020519256592	2.4397988319396973	2.133197784423828	2.1415557861328125	2.140998601913452	2.0978736877441406	2.1572935581207275	2.3627383708953857	2.6350338459014893	2.4810423851013184	1.9749596118927002	1.9209117889404297	2.5510213375091553	2.759521961212158	2.805025339126587	0.6270911693572998	1.530597448348999		0.4453856945037842
71	0.8946511745452881	0.7894072532653809	1.124748945236206	16.980456829071045		0.8899497985839844	1.013500690460205	0.788287878036499	0.7912595272064209	0.8183743953704834	0.9103825092315674	0.7533993721008301	0.7696912288665771	0.9095304012298584	0.9096107482910156	0.9223408699035645	2.778395652770996	2.217595338821411	2.167539596557617	2.447458028793335	2.7344558238983154	2.7853922843933105	2.6650705337524414	2.75502610206604	2.5073444843292236	1.9807629585266113	1.9280309677124023	2.6039679050445557	3.064953088760376	3.252201557159424	0.6360938549041748	1.6758019924163818		0.44557785987854004
72	0.9105725288391113	0.9080166816711426	1.2677524089813232	17.0078067779541		0.8968877792358398	1.024799108505249	0.8585832118988037	0.9117157459259033	0.9750370979309082	0.9751625061035156	0.7655305862426758	0.8055152893066406	0.9194834232330322	0.9128923416137695	0.9680085182189941	2.994309425354004	2.438436985015869	2.7149600982666016	2.786162853240967	3.0372962951660156	3.0842413902282715	2.6927571296691895	2.7892308235168457	2.686235189437866	2.1633455753326416	2.0146493911743164	2.7527880668640137	3.2459776401519775	3.276921033859253	0.6619009971618652	1.74745774269104		0.44948554039001465
73	0.9274258613586426	0.9664516448974609	1.305694818496704	17.372300624847412		0.9187817573547363	1.037276029586792	1.0126526355743408	0.9742109775543213	0.9839422702789307	0.9755222797393799	0.7690567970275879	0.84006667137146	0.969529390335083	0.9903628826141357	0.9900975227355957	3.0441231727600098	2.5010054111480713	2.716442584991455	2.9942848682403564	3.16770601272583	3.1238226890563965	2.850339412689209	3.015378713607788	2.954657793045044	2.278573989868164	2.394577980041504	2.917243242263794	3.600191354751587	4.068957328796387	0.6837770938873291	1.785287618637085		0.4635462760925293
74	0.9741783142089844	1.00101900100708	1.7255983352661133	18.120203733444214		1.0149996280670166	1.0750491619110107	1.0394155979156494	1.0004494190216064	1.0127272605895996	0.9786946773529053	0.7888278961181641	0.9107556343078613	1.2277941703796387	1.2311146259307861	1.2263531684875488	3.236475706100464	2.5075137615203857	3.0360379219055176	3.203817844390869	3.3461191654205322	3.270496368408203	3.058225631713867	3.043631076812744	3.131049156188965	2.392971992492676	2.7028963565826416	3.2128119468688965	4.258373498916626	4.2631590366363525	0.7263698577880859	1.8625411987304688		0.513547420501709
